"Country or Area","Subgroup","Year","Value","Value Footnotes"
"Angola","Total 10-14 yr","2007-2011","85","1"
"Bangladesh","Total 10-14 yr","2007-2011","84","2"
"Belize","Total 10-14 yr","2007-2011","66","2"
"Benin","Total 10-14 yr","2007-2011","90","1"
"Bhutan","Total 10-14 yr","2007-2011","70","1"
"Burkina Faso","Total 10-14 yr","2007-2011","101","1"
"Burundi","Total 10-14 yr","2007-2011","82","1"
"Cambodia","Total 10-14 yr","2007-2011","86","1"
"Cameroon","Total 10-14 yr","2007-2011","91","2"
"Central African Republic","Total 10-14 yr","2007-2011","89","2"
"Chad","Total 10-14 yr","2007-2011","117","1"
"Côte d'Ivoire","Total 10-14 yr","2007-2011","83","2"
"Democratic Republic of the Congo","Total 10-14 yr","2007-2011","74","1"
"Dominican Republic","Total 10-14 yr","2007-2011","98","1"
"Eastern and Southern Africa","Total 10-14 yr","2007-2011","89","3"
"Ethiopia","Total 10-14 yr","2007-2011","90","1"
"Gambia","Total 10-14 yr","2007-2011","103","1"
"Ghana","Total 10-14 yr","2007-2011","76","1"
"Guinea-Bissau","Total 10-14 yr","2007-2011","109","1"
"Haiti","Total 10-14 yr","2007-2011","86","2"
"Honduras","Total 10-14 yr","2007-2011","108","2"
"India","Total 10-14 yr","2007-2011","72","2"
"Iraq","Total 10-14 yr","2007-2011","84","2"
"Least Developed Countries/Territories","Total 10-14 yr","2007-2011","88","3"
"Lesotho","Total 10-14 yr","2007-2011","98","1"
"Liberia","Total 10-14 yr","2007-2011","85","1"
"Madagascar","Total 10-14 yr","2007-2011","74","1"
"Malawi","Total 10-14 yr","2007-2011","97","1"
"Mali","Total 10-14 yr","2007-2011","92","1"
"Mauritania","Total 10-14 yr","2007-2011","66","1"
"Mongolia","Total 10-14 yr","2007-2011","102","1"
"Mozambique","Total 10-14 yr","2007-2011","83","1"
"Namibia","Total 10-14 yr","2007-2011","100","1"
"Niger","Total 10-14 yr","2007-2011","67","2"
"Nigeria","Total 10-14 yr","2007-2011","117","1"
"Rwanda","Total 10-14 yr","2007-2011","91","1"
"Senegal","Total 10-14 yr","2007-2011","97","1"
"Sierra Leone","Total 10-14 yr","2007-2011","88","1"
"Somalia","Total 10-14 yr","2007-2011","78","2"
"South Africa","Total 10-14 yr","2007-2011","101","1"
"South Asia","Total 10-14 yr","2007-2011","72","3"
"South Sudan","Total 10-14 yr","2007-2011","78","4"
"Sub-Saharan Africa","Total 10-14 yr","2007-2011","95","3"
"Sudan","Total 10-14 yr","2007-2011","96","4"
"Swaziland","Total 10-14 yr","2007-2011","99","1"
"Thailand","Total 10-14 yr","2007-2011","93","2"
"Timor-Leste","Total 10-14 yr","2007-2011","75","1"
"Togo","Total 10-14 yr","2007-2011","86","1"
"Uganda","Total 10-14 yr","2007-2011","88","1"
"United Republic of Tanzania","Total 10-14 yr","2007-2011","90","1"
"Vanuatu","Total 10-14 yr","2007-2011","92","1"
"Western and Central Africa","Total 10-14 yr","2007-2011","100","3"
"Zambia","Total 10-14 yr","2007-2011","92","1"
"Zimbabwe","Total 10-14 yr","2007-2011","95","1"

"fnSeqID","Footnote"
"1","Data refer to the most recent year available during the period specified in the column heading. "
"2","Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed."
"3","Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX."
"4","Data refer to the most recent year available during the period specified in the column heading. Due to the cession in July 2011 of the Republic of South Sudan by the Republic of the Sudan, and its subsequent admission to the UN on 14 July 2011, disaggregated data for Sudan and South Sudan as separate States are not yet available for all indicators. In these cases, aggregated data are presented for Sudan pre-cession (see Memorandum item)."
